block,subplot,lamps,light_quant_lighted,light_quant_unlighted
1,1,1,554.8,74.9
1,2,0,598.0,NA
1,3,1,1640.7,180.1
1,4,0,1418.4,NA
1,5,0,228.5,NA
1,6,1,531.8,955.4
1,7,0,1330.1,NA
1,8,1,1879.4,718.2
2,9,1,840.4,62.4
2,10,0,447.8,NA
2,11,1,1570.9,1426.0
2,12,0,1362.5,NA
2,13,0,704.8,NA
2,14,1,517.3,239.2
2,15,1,1816.0,1491.1
2,16,0,1682.3,NA
3,17,1,1039.4,1072.6
3,18,0,1151.1,NA
3,19,1,1929.1,1536.1
3,20,0,1595.6,NA
3,21,1,1838.6,1676.0
3,22,0,1651.4,NA
3,23,0,1417.3,NA
3,24,1,1394.3,977.0
4,25,1,1720.5,1058.8
4,26,0,837.4,NA
4,27,1,1878.9,1308.0
4,28,0,669.4,NA
4,29,0,1545.0,NA
4,30,1,1833.7,1665.0
4,31,0,300.1,NA
4,32,1,1021.2,429.0
5,33,0,1676.8,NA
5,34,1,608.8,229.8
5,35,0,620.4,NA
5,36,1,655.4,238.0
5,37,1,1982.5,1458.1
5,38,0,1599.8,NA
5,39,0,170.9,NA
5,40,1,1521.7,1423.1
6,41,0,1433.1,NA
6,42,1,866.8,154.4
6,43,1,1016.5,1607.4
6,44,0,1291.0,NA
6,45,1,1675.9,1233.2
6,46,0,1381.4,NA
6,47,1,1176.7,479.5
6,48,0,773.2,NA
7,49,1,529.4,256.7
7,50,0,231.4,NA
7,51,1,390.8,121.4
7,52,0,1193.8,NA
7,53,0,1728.2,NA
7,54,1,606.1,351.4
7,55,0,1021.5,NA
7,56,1,1917.9,1481.9
8,57,1,668.4,1550.7
8,58,0,484.3,NA
8,59,0,498.3,NA
8,60,1,1345.6,1513.7
8,61,1,1461.0,897.6
8,62,0,392.2,NA
8,63,1,1196.3,1166.9
8,64,0,1357.6,NA
9,65,0,440.8,NA
9,66,1,1098.8,422.4
9,67,0,1702.4,NA
9,68,1,1732.4,1685.5
9,69,0,1901.4,NA
9,70,1,1986.7,1708.8
9,71,1,1063.1,838.0
9,72,0,723.0,NA
10,73,0,1571.9,NA
10,74,1,1965.6,1517.7
10,75,0,1515.6,NA
10,76,1,2035.0,1659.9
10,77,0,1294.5,NA
10,78,1,1556.3,967.7
10,79,1,2198.0,1563.6
10,80,0,718.4,NA